TDet,label,x_m,z_m,CI95_x_lo,CI95_x_hi,CI95_y_lo,CI95_y_hi,CI95_z_lo,CI95_z_hi,TDOA_12,TDOAi_12,XAmp_12,TDOA_13,TDOAi_13,XAmp_13,TDOA_14,TDOAi_14,XAmp_14,TDOA_23,TDOAi_23,XAmp_23,TDOA_24,TDOAi_24,XAmp_24,TDOA_34,TDOAi_34,XAmp_34
739104.666769618,1,-560,20,-660,-500,-800,-740,NaN,20,-0.25875,-0.25875,0.040688565920557,0.00116666666666667,0.00116666666666667,0.000855113558991314,NaN,0.0670833333333333,0.00131464944701584,NaN,0.249583333333333,0.00133945822893206,NaN,0.31025,0.00310779942531903,NaN,0.077,0.000668739511968609
739104.666773322,1,-560,20,-640,-480,-800,-740,NaN,20,-0.245,-0.245,0.0017804200150628,0.00558333333333333,0.00558333333333333,0.000279622563553159,0.0670833333333333,0.0670833333333333,0.000310287704672563,0.249583333333333,0.249583333333333,0.000336475038011712,0.31025,0.31025,0.000675294781309377,0.077,0.077,0.000578485906740663
739104.666778507,1,-540,20,-640,-480,-800,-740,NaN,20,-0.242,-0.242,0.0604490379664707,0.0196666666666667,0.0196666666666667,0.00173866245431659,NaN,0.0670833333333333,0.0020984838658164,0.2365,0.2365,0.00234658832249328,NaN,0.31025,0.0030261923865764,0.069,0.069,0.00243870502253983
739104.666788137,1,-700,20,-800,-640,-880,-820,NaN,20,NaN,-0.242,0.0409514765939913,0.00608333333333333,0.00608333333333333,0.0122049649735669,0.110416666666667,0.110416666666667,0.00805974971737279,0.247333333333333,0.247333333333333,0.00594128725840372,0.31975,0.31975,0.00738715358639725,0.11825,0.11825,0.00569820781821781
739104.666823692,1,-700,20,-800,-640,-880,-820,NaN,20,NaN,-0.242,0.0658510030941587,0.00625,0.00625,0.0165187141931968,0.0955,0.0955,0.0120547475742601,0.260916666666667,0.260916666666667,0.0180403592820907,0.3195,0.3195,0.0249587723937788,NaN,0.11825,0.0145869068276713
739104.667259248,1,-440,20,-540,-380,-740,-680,NaN,20,NaN,-0.24175,0.0663122696039014,NaN,0.00391666666666667,0.00186058159203867,NaN,0.08175,0.00223249761939635,NaN,0.2515,0.00249209038567902,NaN,0.248,0.00383869649978077,0.0518333333333333,0.0518333333333333,0.00187123833298485
739104.667269618,1,-560,20,-660,-500,-780,-720,NaN,20,NaN,-0.24175,0.039677284848011,NaN,0.00391666666666667,0.002032620449109,NaN,0.08175,0.00266154800906868,NaN,0.2515,0.00317990303434332,NaN,0.248,0.00435109626393265,0.0931666666666667,0.0931666666666667,0.00230419327580492
739104.667285914,1,-500,20,-600,-440,-760,-700,NaN,20,NaN,-0.24175,0.0289696105696467,0.00391666666666667,0.00391666666666667,0.00554056640076624,0.08175,0.08175,0.00278407116747723,0.2515,0.2515,0.00309860926851905,0.248,0.248,0.0025103022835252,0.071,0.071,0.00275126258533056
739104.667296285,1,-480,20,-580,-420,-740,-680,NaN,20,NaN,-0.24175,0.0306101664246574,0.00391666666666667,0.00391666666666667,0.00770860113518514,0.05175,0.05175,0.00327405176563809,0.251416666666667,0.251416666666667,0.00341233012680169,NaN,0.248,0.002697048201453,0.067,0.067,0.00340367757455627
739104.667377766,1,-560,20,-640,-480,-800,-740,NaN,20,NaN,-0.24175,0.0254614014200764,0.00275,0.00275,0.00411013531226646,0.0756666666666667,0.0756666666666667,0.00316623320301812,0.2445,0.2445,0.00646299674954272,0.309166666666667,0.309166666666667,0.0047815681360554,0.06475,0.06475,0.00440082808165331
