TDet,label,x_m,z_m,CI95_x_lo,CI95_x_hi,CI95_y_lo,CI95_y_hi,CI95_z_lo,CI95_z_hi,TDOA_12,TDOAi_12,XAmp_12,TDOA_13,TDOAi_13,XAmp_13,TDOA_14,TDOAi_14,XAmp_14,TDOA_23,TDOAi_23,XAmp_23,TDOA_24,TDOAi_24,XAmp_24,TDOA_34,TDOAi_34,XAmp_34
739104.666769618,1,-550,20,-650,-550,-800,-800,NaN,NaN,-0.25875,-0.24385,0.040688565920557,0.00116666666666667,0.00571666666666667,0.000855113558991314,NaN,0.0779833333333333,0.00131464944701584,NaN,0.249433333333333,0.00133945822893206,NaN,0.287116666666667,0.00310779942531903,NaN,0.080725,0.000668739511968609
739104.666773322,1,-550,20,-650,-550,-800,-800,NaN,NaN,-0.245,-0.243659090909091,0.0017804200150628,0.00558333333333333,0.00537878787878788,0.000279622563553159,0.0670833333333333,0.0762272727272727,0.000310287704672563,0.249583333333333,0.248962121212121,0.000336475038011712,0.31025,0.289068181818182,0.000675294781309377,0.077,0.0785454545454545,0.000578485906740663
739104.666778507,1,-550,20,-650,-550,-800,-800,NaN,NaN,-0.242,-0.243486111111111,0.0604490379664707,0.0196666666666667,0.00511805555555556,0.00173866245431659,NaN,0.0747777777777778,0.0020984838658164,0.2365,0.248527777777778,0.00234658832249328,NaN,0.290590277777778,0.0030261923865764,0.069,0.0767222222222222,0.00243870502253983
739104.666788137,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.243339743589744,0.0409514765939913,0.00608333333333333,0.0048974358974359,0.0122049649735669,0.110416666666667,0.0735448717948718,0.00805974971737279,0.247333333333333,0.248166666666667,0.00594128725840372,0.31975,0.291878205128205,0.00738715358639725,0.11825,0.0757115384615385,0.00569820781821781
739104.666823692,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.243214285714286,0.0658510030941587,0.00625,0.00470833333333333,0.0165187141931968,0.0955,0.0724940476190476,0.0120547475742601,0.260916666666667,0.24785119047619,0.0180403592820907,0.3195,0.292982142857143,0.0249587723937788,NaN,0.0748392857142857,0.0145869068276713
739104.667259248,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.243116666666667,0.0663122696039014,NaN,0.00454444444444444,0.00186058159203867,NaN,0.0715888888888889,0.00223249761939635,NaN,0.247566666666667,0.00249209038567902,NaN,0.293933333333333,0.00383869649978077,0.0518333333333333,0.0736388888888889,0.00187123833298485
739104.667269618,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.243020833333333,0.039677284848011,NaN,0.00439583333333333,0.002032620449109,NaN,0.07121875,0.00266154800906868,NaN,0.247328125,0.00317990303434332,NaN,0.294770833333333,0.00435109626393265,0.0931666666666667,0.0730052083333333,0.00230419327580492
739104.667285914,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.242936274509804,0.0289696105696467,0.00391666666666667,0.00426470588235294,0.00554056640076624,0.08175,0.0708921568627451,0.00278407116747723,0.2515,0.247117647058824,0.00309860926851905,0.248,0.295509803921569,0.0025103022835252,0.071,0.0724509803921568,0.00275126258533056
739104.667296285,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.242861111111111,0.0306101664246574,0.00391666666666667,0.00414814814814815,0.00770860113518514,0.05175,0.0706018518518519,0.00327405176563809,0.251416666666667,0.246930555555556,0.00341233012680169,NaN,0.296166666666667,0.002697048201453,0.067,0.0719537037037037,0.00340367757455627
739104.667377766,1,-550,20,-650,-550,-800,-800,NaN,NaN,NaN,-0.242833333333333,0.0254614014200764,0.00275,0.0040219298245614,0.00411013531226646,0.0756666666666667,0.0699078947368421,0.00316623320301812,0.2445,0.246780701754386,0.00646299674954272,0.309166666666667,0.296271929824561,0.0047815681360554,0.06475,0.0714649122807017,0.00440082808165331
